Average Age,Record Prediction,Defensive PPG,Offensive PPG,FG%,Punt Yards,Kick Return Yards,Strength of Schedule,QB,RB,WR,OL,Offense,DL,LB,S,CB,Defense,Completion Percentage,Y/A,QBR,Receiving Touchdowns,Receiving Yards,Y/R,Rushing Yards,YPC,Rushing Touchdowns,Win Percentage,Interceptions,Sacks,Sack Yards,Fumbles
26.7,8.5,22.2,25.6,0.810810811,238,611,0.507,16839481,8998826,31733118,54175671,122102489,35779340,19840423,20970772,10730517,87321052,70.2,7.8,100.6,27,4619,11.13,2076,4.2,23,64.7,11,39,343,16
25.9,5,27,18.4,0.931034483,189,999,0.454,6055084,6613472,15860067,33453713,74190830,29264035,27844830,5740904,17210459,80060228,65.8,7,86.6,20,3987,10.58,1451,3.7,11,41.2,15,40,274,9
25.8,9.5,23.1,22.8,0.945945946,360,737,0.563,25517666,9765808,11685498,49227077,113780624,29465501,9466724,13554303,35264657,87751185,64.8,7,84.4,21,4267,10.78,2479,4.8,18,47.1,18,57,306,7
26.3,11.5,18.3,29.8,0.875,316,790,0.478,20792281,7901686,22332837,42091766,101144919,33197836,26642886,19013675,31889572,110743969,63.4,6.8,91.3,36,4450,10.72,2209,4.8,20,64.7,16,27,166,8
25.3,6.5,23.8,17.9,0.896551724,213,620,0.472,25537226,13907376,27511757,38362852,113500521,29807856,22234137,7968659,19435504,79446156,58.1,6,68.5,14,3573,10.27,1842,4,17,29.4,21,52,334,10
27,5.5,23.9,18.3,0.866666667,338,1180,0.55,7169080,7330705,15625121,30528345,67942135,40523900,18021333,22054957,10942553,91542743,61.3,6.7,75.5,16,3635,10.95,2018,4.2,14,35.3,20,58,428,5
25.6,10,21.8,26.3,0.852941176,261,662,0.529,12075037,17219643,27030754,30847053,95343456,55489129,10254820,25533256,25657432,116934637,69.2,8.7,106.9,36,4806,12.52,1742,4,16,58.8,14,55,403,2
25.3,9,21.8,20.5,0.727272727,337,828,0.518,16538000,16120382,14447211,39850146,94314330,31434307,9091441,14953160,14237257,69716165,61.5,7,84.6,21,3619,11.31,2471,5.1,20,47.1,14,49,299,5
25.6,10,21.2,30.4,0.828571429,185,719,0.452,22610408,22560915,16504127,43543395,121217565,35156385,13117934,9433724,21564482,79272525,68.6,7.7,104.8,40,4963,11.18,2119,4.5,15,70.6,11,33,163,8
25.6,10,18.9,19.7,0.838709677,230,291,0.471,25960000,7375238,23850569,46578649,110930423,42787266,8884443,25238464,25923798,102833971,65.4,7.1,91.7,20,3856,10.89,2025,4.5,16,41.2,9,40,263,7
25.2,6.5,27.5,19.1,0.866666667,236,880,0.529,34300000,10193377,17840592,50635863,124272224,46072228,11187138,11621982,20811989,89693337,66.8,6.5,88.1,23,3884,9.81,1886,4.4,12,18.8,14,36,286,6
25.7,11,21.3,25.6,0.735294118,199,531,0.542,32615878,10427629,17503070,29936460,101873345,47262698,11738322,15629312,16690695,91321027,67.8,7.6,107.4,39,4526,11.26,1900,4.3,13,76.5,7,33,211,5
26.8,4.5,26.6,16.5,0.777777778,188,1002,0.504,5822429,8293711,21910290,43955497,89373705,31342912,18625204,12093667,24045963,86107746,64.8,6.6,85.2,21,3630,10.25,1422,3.4,8,23.5,15,44,325,5
25.6,10,21.5,26.5,0.828571429,170,808,0.478,22870224,12049023,14349377,49589344,109315922,55139705,22451627,5690134,25396793,108678259,62.2,6.9,93.5,27,3588,11.07,2540,5.1,22,52.9,8,32,227,7
25.5,6.5,26.9,14.9,0.777777778,159,799,0.491,12948627,7299624,34369396,31868186,105943592,59993975,13520608,15474157,34344153,123332893,59.8,6.1,72.1,12,3674,10.18,1755,4.5,13,17.7,17,32,238,6
26.1,10.5,22.4,29.4,0.875,228,702,0.511,39323381,8528058,21257010,38370936,124226212,56317799,8680730,12759009,12369801,90127339,66.4,7.3,98.1,37,4937,11.02,1955,4.5,16,70.6,13,28,146,8
25.7,8.5,25.8,21.8,0.930232558,309,694,0.526,22994000,12870435,24702987,25655858,99204961,42259057,9046817,10732552,17136874,79175300,68.3,7.7,93.8,23,4808,11.21,1617,3.9,14,52.9,14,40,241,9
25.8,10,27,27.9,0.888888889,107,976,0.493,10990739,11986351,41160315,34058859,106486457,62922430,11333491,16947394,24029498,115232813,65.7,7.4,97.4,38,5014,11.32,1834,4.3,18,70.6,15,31,214,3
25.5,10.5,21.3,27,0.941176471,215,686,0.515,15925000,7009481,29654328,27565055,94048649,58030310,6719359,8963982,34189335,107902986,66.9,8.1,101.6,41,4893,12.05,1683,4,10,58.8,18,31,251,3
25.7,9,21.9,20.1,0.741935484,190,330,0.471,15482489,15120003,24701322,28098065,103746933,41426817,20490784,12245862,30718942,104882405,65.7,6.4,85.4,21,3936,9.74,1568,3.5,12,52.9,14,40,285,5
25.6,9,25.1,25,0.868421053,206,849,0.531,33642336,15557080,23513507,29946324,109430940,40414069,24318086,12931357,13191356,90854868,65.9,7.4,101.6,34,4450,11.18,1930,4.3,10,47.1,7,30,212,6
26.5,8.5,19.4,26.6,0.923076923,316,544,0.489,6169118,7892744,36407539,30624331,112893221,49452268,9020038,16699924,25372104,100544334,68,7.7,95.5,24,4098,11.26,2151,4.4,24,58.8,13,28,241,7
26,8,19.7,21.4,0.833333333,349,838,0.483,7993395,11887265,31597977,35674285,99684327,36367544,13405163,12479901,18906437,81159045,58.1,6.8,87.4,29,3437,11.73,1991,3.9,12,52.9,13,37,251,2
25.6,7,24.5,15.2,0.878787879,197,683,0.474,12010836,11257551,42463160,32566154,103508479,49370342,12833031,7341471,18089620,87634464,59.2,5.8,70.1,15,3463,9.87,1688,4,8,23.5,20,38,267,4
25.1,5.5,29.6,18.2,0.777777778,206,1371,0.489,13990556,6927225,31722049,47044007,109547734,60888136,25375333,12944845,16416791,115625105,59.2,6.6,76,20,3959,11.09,1667,4.4,14,23.5,20,53,418,1
25.9,9.5,23.1,25.5,0.909090909,239,630,0.43,5719896,5910242,22733563,50860539,93109607,51113076,8344176,7000047,22097512,88554811,62.1,7.3,89.2,20,3585,11.68,2715,4.9,25,52.9,10,31,181,6
25.6,7,24.4,20.2,0.9,370,849,0.574,10985289,6600453,15084148,23664637,61359489,75822203,19455039,13476735,17021321,125775298,64,6,85.3,23,4017,9.45,1583,3.9,10,56.3,11,38,239,0
26.5,10,20.6,24,0.84375,279,642,0.489,37425448,5595537,17828248,37938652,110949983,53496795,19286683,18414292,18297439,109495209,66.7,8.6,99.2,26,4437,12.94,2166,4.3,22,58.8,14,33,216,5
26.4,5.5,21.5,23.2,0.739130435,192,894,0.511,5846022,10904273,23704221,28280340,78131050,40534229,9408847,21571387,15160637,86675100,65.5,7.7,103.1,30,3815,11.77,2074,5,18,41.2,7,46,383,4
26.7,11.5,20.9,29.9,0.806451613,250,592,0.465,16374031,8084083,29690705,45098989,107266550,31794762,29075896,9025913,19634020,89530591,67.3,7.4,101.6,43,5383,10.94,1672,4.3,18,76.5,12,23,154,3
26.4,9,20.7,24.2,0.8125,293,778,0.507,40433200,19575552,20667824,33316487,121723265,48292894,9491324,13867941,12729917,84382076,67.1,7,90,22,3745,10.43,2404,4.4,23,70.6,14,47,327,9
26,8,25.5,19.7,0.848484848,134,904,0.504,34133075,4909186,33987468,43414265,125974317,41724432,12239078,6473356,32092566,92529432,64.7,6.8,85.8,21,3746,10.52,2061,4.3,13,41.2,15,43,305,10
